P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,DRS_nu,a1,a2,a3,a4,a5,rho,nu
K2-62 b,Superterran,rocky-iron,non-habitable,0,-2.201997,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-62 c,Superterran,rocky-iron,non-habitable,0,-2.053602,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-64 b,Superterran,rocky-iron,non-habitable,0,-2.330252,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-65 b,Superterran,rocky-iron,non-habitable,0,-1.878499,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-66 b,Superterran,rocky-iron,non-habitable,0,-3.706622,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-68 b,Superterran,rocky-iron,non-habitable,0,-1.851855,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-69 b,Superterran,rocky-iron,non-habitable,0,-2.286568,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-71 b,Superterran,rocky-iron,non-habitable,0,-2.049411,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-72 b,Terran,rocky-iron,non-habitable,0,-1.374699,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-72 c,Terran,rocky-iron,non-habitable,0,-1.25421,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-72 d,Terran,rocky-iron,non-habitable,0,-1.264911,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-72 e,Terran,rocky-iron,mesoplanet,1,-1.187493,0.511682,0.1,0.188318,0.1,0.1,1,0.99
K2-73 b,Superterran,rocky-iron,non-habitable,0,-2.831002,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-74 b,Superterran,rocky-iron,non-habitable,0,-2.335978,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-77 b,Superterran,rocky-iron,non-habitable,0,-2.602124,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-78 b,Terran,rocky-iron,non-habitable,0,-3.153454,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-80 b,Superterran,rocky-iron,non-habitable,0,-1.918485,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-80 c,Terran,rocky-iron,non-habitable,0,-2.368326,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-81 b,Superterran,rocky-iron,non-habitable,0,-1.947346,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-83 b,Terran,rocky-iron,non-habitable,0,-1.745608,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-83 c,Terran,rocky-iron,non-habitable,0,-1.350437,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-84 b,Superterran,rocky-iron,non-habitable,0,-2.726813,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-84 c,Superterran,rocky-iron,non-habitable,0,-1.927419,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-85 b,Terran,rocky-iron,non-habitable,0,-2.81247,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-86 b,Superterran,rocky-iron,non-habitable,0,-2.199419,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-88 b,Terran,rocky-iron,non-habitable,0,-1.299638,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-89 b,Subterran,rocky-iron,non-habitable,0,-1.821516,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-90 b,Superterran,rocky-iron,non-habitable,0,-1.888295,0.1,0.1,0.6,0.1,0.1,1,0.99
K2-90 c,Terran,rocky-iron,non-habitable,0,-1.81061,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-91 b,Terran,rocky-iron,non-habitable,0,-1.74048,0.1,0.1,0.1,0.6,0.1,1,0.99
K2-95 b,Neptunian,rocky-water,non-habitable,0,-8.602871,0.1,0.1,0.6,0.1,0.1,1,0.99
Kapteyn b,Terran,rocky-iron,psychroplanet,1,-1.40071,0.1,0.1,0.6,0.1,0.1,1,0.99
Kapteyn c,Superterran,rocky-iron,non-habitable,0,-1.564173,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-9 d,Superterran,rocky-water,non-habitable,0,-3.794866,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-10 b,Terran,rocky-iron,non-habitable,0,-4.586475,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-10 c,Superterran,rocky-iron,non-habitable,0,-2.300087,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-18 b,Superterran,rocky-water,non-habitable,0,-2.986356,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-19 b,Superterran,rocky-iron,non-habitable,0,-2.322481,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-20 b,Superterran,rocky-iron,non-habitable,0,-2.897365,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-20 e,Terran,rocky-iron,non-habitable,0,-2.223522,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-20 f,Terran,rocky-iron,non-habitable,0,-1.645862,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-21 b,Superterran,rocky-iron,non-habitable,0,-4.186875,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-22 b,Superterran,rocky-iron,mesoplanet,1,-2.245255,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-23 b,Superterran,rocky-iron,non-habitable,0,-2.902915,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-23 d,Superterran,rocky-iron,non-habitable,0,-2.594968,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-24 b,Superterran,rocky-iron,non-habitable,0,-2.708805,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-26 e,Superterran,rocky-iron,non-habitable,0,-2.354545,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-33 b,Superterran,rocky-iron,non-habitable,0,-3.350088,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-36 b,Terran,rocky-iron,non-habitable,0,-2.578748,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-37 b,Mercurian,rocky-iron,non-habitable,0,-1.537636,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-37 c,Subterran,rocky-iron,non-habitable,0,-1.457239,0.1,0.1,0.1,0.6,0.1,1,0.99
Kepler-37 d,Superterran,rocky-iron,non-habitable,0,-1.785651,0.1,0.1,0.6,0.1,0.1,1,0.99
Kepler-42 b,Subterran,rocky-iron,non-habitable,0,-1.365283,0.1,0.1,0.1,0.6,0.1,1,0.99
