P. Name,P. Mass Class,P. Composition Class,P. Habitable Class,P. Habitable,CES_CRS_nu,a1,a2,a3,a4,a5,rho,nu
HIP 116454 b,Superterran,rocky-water,non-habitable,0,-2.052035,0.6,0.1,0.1,0.1,0.1,1,1
K2-3 b,Superterran,rocky-iron,non-habitable,0,-2.090424,0.1,0.1,0.6,0.1,0.1,1,1
K2-3 c,Superterran,rocky-iron,non-habitable,0,-1.656785,0.1,0.1,0.6,0.1,0.1,1,1
K2-3 d,Terran,rocky-iron,non-habitable,1,-2.401271,0.1,0.6,0.1,0.1,0.1,1,1
K2-4 b,Superterran,rocky-iron,non-habitable,0,-2.37859,0.1,0.1,0.6,0.1,0.1,1,1
K2-5 b,Superterran,rocky-iron,non-habitable,0,-1.799542,0.1,0.1,0.1,0.6,0.1,1,1
K2-5 c,Superterran,rocky-iron,non-habitable,0,-2.199451,0.1,0.1,0.6,0.1,0.1,1,1
K2-6 b,Superterran,rocky-iron,non-habitable,0,-2.608924,0.1,0.1,0.6,0.1,0.1,1,1
K2-8 c,Superterran,rocky-iron,non-habitable,0,-2.540243,0.1,0.1,0.6,0.1,0.1,1,1
K2-9 b,Superterran,rocky-iron,thermoplanet,1,-2.122361,0.1,0.1,0.6,0.1,0.1,1,1
K2-12 b,Superterran,rocky-iron,non-habitable,0,-2.668875,0.1,0.1,0.1,0.6,0.1,1,1
K2-13 b,Superterran,rocky-iron,non-habitable,0,-1.747812,0.1,0.1,0.6,0.1,0.1,1,1
K2-15 b,Superterran,rocky-iron,non-habitable,0,-2.588188,0.1,0.1,0.6,0.1,0.1,1,1
K2-16 b,Superterran,rocky-iron,non-habitable,0,-2.026583,0.1,0.1,0.1,0.6,0.1,1,1
K2-17 b,Superterran,rocky-iron,non-habitable,0,-2.155257,0.1,0.1,0.6,0.1,0.1,1,1
K2-18 b,Superterran,rocky-iron,mesoplanet,1,-2.099264,0.1,0.1,0.6,0.1,0.1,1,1
K2-19 d,Terran,rocky-iron,non-habitable,0,-2.880667,0.1,0.1,0.1,0.6,0.1,1,1
K2-21 b,Superterran,rocky-iron,non-habitable,0,-1.579542,0.1,0.1,0.1,0.6,0.1,1,1
K2-21 c,Superterran,rocky-iron,non-habitable,0,-1.765035,0.1,0.1,0.6,0.1,0.1,1,1
K2-22 b,Superterran,rocky-iron,non-habitable,0,-19.169778,0.1,0.6,0.1,0.1,0.1,1,1
K2-28 b,Superterran,rocky-iron,non-habitable,0,-2.304986,0.1,0.1,0.6,0.1,0.1,1,1
K2-35 b,Terran,rocky-iron,non-habitable,0,-2.497958,0.1,0.1,0.1,0.6,0.1,1,1
K2-35 c,Superterran,rocky-iron,non-habitable,0,-2.218875,0.1,0.1,0.1,0.6,0.1,1,1
K2-36 b,Terran,rocky-iron,non-habitable,0,-3.002333,0.1,0.1,0.1,0.6,0.1,1,1
K2-37 b,Superterran,rocky-iron,non-habitable,0,-2.548917,0.1,0.1,0.1,0.6,0.1,1,1
K2-38 b,Superterran,rocky-iron,non-habitable,0,-3.324167,0.1,0.1,0.1,0.6,0.1,1,1
K2-38 c,Superterran,rocky-water,non-habitable,0,-2.388583,0.1,0.1,0.1,0.6,0.1,1,1
K2-42 b,Superterran,rocky-iron,non-habitable,0,-2.121646,0.1,0.1,0.6,0.1,0.1,1,1
K2-46 b,Superterran,rocky-iron,non-habitable,0,-2.423625,0.1,0.1,0.1,0.6,0.1,1,1
K2-47 b,Superterran,rocky-iron,non-habitable,0,-1.740174,0.1,0.1,0.6,0.1,0.1,1,1
K2-48 b,Superterran,rocky-iron,non-habitable,0,-2.187319,0.1,0.1,0.6,0.1,0.1,1,1
K2-49 b,Superterran,rocky-iron,non-habitable,0,-2.087833,0.1,0.1,0.1,0.6,0.1,1,1
K2-50 b,Superterran,rocky-iron,non-habitable,0,-1.625375,0.1,0.1,0.1,0.6,0.1,1,1
K2-53 b,Superterran,rocky-iron,non-habitable,0,-2.645694,0.1,0.1,0.6,0.1,0.1,1,1
K2-54 b,Terran,rocky-iron,non-habitable,0,-1.219125,0.1,0.1,0.1,0.6,0.1,1,1
K2-57 b,Superterran,rocky-iron,non-habitable,0,-2.021736,0.1,0.1,0.6,0.1,0.1,1,1
K2-58 c,Superterran,rocky-iron,non-habitable,0,-2.989,0.1,0.1,0.1,0.6,0.1,1,1
K2-58 d,Superterran,rocky-iron,non-habitable,0,-1.73625,0.1,0.1,0.1,0.6,0.1,1,1
K2-59 b,Superterran,rocky-iron,non-habitable,0,-2.441875,0.1,0.1,0.6,0.1,0.1,1,1
