P. Name,CRS_Yscore,DRS_Yscore,CRS_Norm,DRS_Norm
Kepler-84 c,2.313482,2.118896,0.0073482448,0.0126979147
Kepler-84 d,1.359442,1.31246,0.0043179556,0.0078651832
Kepler-84 f,2.111717,1.951203,0.0067073846,0.0116929803
Kepler-85 b,1.98757,1.854286,0.0063130601,0.0111121855
Kepler-85 c,2.166337,2.000449,0.0068808725,0.011988097
Kepler-85 d,1.179803,1.157121,0.0037473736,0.0069342827
Kepler-85 e,1.241198,1.210935,0.0039423807,0.007256774
Kepler-89 b,2.0792,1.927014,0.0066041018,0.0115480229
Kepler-90 b,1.291194,1.253464,0.0041011815,0.0075116376
Kepler-90 c,1.17911,1.155701,0.0037451724,0.006925773
Kepler-92 b,3.213553,2.83299,0.0102071138,0.0169772681
Kepler-92 c,2.118769,1.925013,0.0067297836,0.0115360315
Kepler-93 b,1.465306,1.406085,0.0046542083,0.00842625
Kepler-101 c,1.314417,1.273261,0.004174944,0.0076302752
Kepler-105 c,1.566126,1.490614,0.0049744399,0.0089328072
Kepler-107 b,1.532162,1.460489,0.0048665611,0.008752277
Kepler-107 c,1.748488,1.645217,0.005553671,0.0098592971
Kepler-107 d,1.064718,1.054515,0.0033818325,0.0063193954
Kepler-110 b,1.765396,1.660384,0.0056073754,0.0099501884
Kepler-110 c,2.12227,1.96005,0.0067409038,0.0117459978
Kepler-111 b,1.546815,1.473457,0.004913103,0.0088299904
Kepler-112 b,2.274406,2.086618,0.0072241289,0.0125044822
Kepler-112 c,2.312231,2.117786,0.0073442713,0.0126912628
Kepler-114 b,3.74277,3.238204,0.0118880502,0.0194055953
Kepler-114 c,8.095384,6.449893,0.02571313,0.038652294
Kepler-114 d,2.042619,1.862003,0.0064879106,0.0111584312
Kepler-115 b,1.103394,1.087172,0.0035046779,0.0065150991
Kepler-116 c,2.217353,2.038864,0.0070429131,0.0122183067
Kepler-118 b,1.888006,1.763661,0.0059968179,0.0105690968
Kepler-119 c,0.935217,0.993708,0.0029705022,0.0059549971
Kepler-120 b,2.062589,1.910215,0.0065513408,0.0114473514
Kepler-120 c,1.465414,1.405166,0.0046545514,0.0084207427
Kepler-121 b,2.258495,2.073043,0.0071735912,0.0124231313
Kepler-121 c,2.181007,2.008857,0.0069274684,0.0120384837
Kepler-122 b,2.263733,2.077106,0.0071902285,0.0124474797
Kepler-122 d,2.113644,1.952821,0.0067135052,0.0117026765
Kepler-123 c,1.436235,1.379727,0.004561871,0.0082682943
Kepler-124 b,0.811978,0.962378,0.0025790618,0.0057672457
Kepler-124 c,1.680373,1.588589,0.0053373193,0.0095199423
Kepler-124 d,1.091433,1.079558,0.0034666865,0.0064694706
Kepler-125 b,2.273368,2.085707,0.0072208319,0.0124990229
Kepler-125 c,0.803288,0.955755,0.00255146,0.005727556
Kepler-126 b,1.482525,1.418993,0.0047089005,0.0085036038
Kepler-126 c,1.53185,1.461806,0.0048655701,0.0087601694
Kepler-126 d,2.415109,2.202893,0.0076710397,0.0132012838
Kepler-127 b,1.368391,1.32083,0.0043463801,0.0079153421
Kepler-128 b,15.351427,11.34549,0.0487602859,0.0679901536
Kepler-128 c,16.791598,12.286464,0.0533346586,0.0736291314
Kepler-129 b,2.277125,2.088773,0.0072327651,0.0125173965
Kepler-130 b,1.024759,1.019138,0.0032549119,0.0061073915
Kepler-130 d,1.575702,1.499581,0.0050048559,0.0089865438
Kepler-132 b,1.202007,1.175431,0.0038178995,0.007044009
Kepler-132 c,1.26523,1.230709,0.0040187128,0.0073752737
Kepler-132 d,1.502737,1.436787,0.0047730993,0.008610238
Kepler-133 b,1.70518,1.608987,0.0054161131,0.0096421814
Kepler-134 b,1.924687,1.794019,0.0061133267,0.0107510233
Kepler-134 c,1.233472,1.203384,0.0039178408,0.0072115231
Kepler-135 b,1.745832,1.643181,0.0055452348,0.0098470959
Kepler-135 c,1.142498,1.123572,0.0036288828,0.0067332335
Kepler-136 b,1.975977,1.83744,0.0062762376,0.0110112325
Kepler-136 c,1.915641,1.786959,0.0060845941,0.0107087148
Kepler-137 b,1.428461,1.373037,0.0045371786,0.0082282031
Kepler-137 c,1.803609,1.693033,0.0057287502,0.0101458442
Kepler-138 c,1.33191,1.270043,0.0042305065,0.0076109907
Kepler-138 d,1.330011,1.268411,0.0042244748,0.0076012106
Kepler-140 b,1.57734,1.499207,0.0050100586,0.0089843025
Kepler-140 c,1.7262,1.627515,0.0054828783,0.0097532143
Kepler-141 b,0.800858,0.957556,0.0025437417,0.0057383488
Kepler-141 c,1.374178,1.326207,0.0043647611,0.0079475649
Kepler-142 b,1.937352,1.803612,0.0061535542,0.0108085113
Kepler-142 d,2.07286,1.918826,0.0065839642,0.0114989546
Kepler-143 b,2.323972,2.127575,0.0073815639,0.0127499254
Kepler-144 b,1.312861,1.272065,0.0041700018,0.0076231079
Kepler-144 c,1.316262,1.275459,0.0041808043,0.0076434472
Kepler-145 b,2.565333,2.326141,0.0081481917,0.0139398725
Kepler-145 c,3.75453,3.236293,0.0119254032,0.0193941432
Kepler-147 b,1.480698,1.417563,0.0047030975,0.0084950342
Kepler-147 c,2.344956,2.145033,0.0074482147,0.012854546
Kepler-148 b,1.74905,1.645647,0.0055554561,0.0098618739
Kepler-149 c,1.54829,1.476216,0.004917788,0.0088465243
Kepler-150 b,1.238734,1.207485,0.0039345544,0.0072360992
Kepler-151 c,1.994348,1.853186,0.0063345889,0.0111055936
Kepler-152 c,2.300744,2.108179,0.0073077855,0.0126336909
Kepler-154 b,2.171549,2.001024,0.0068974272,0.0119915428
Kepler-155 b,1.995131,1.853862,0.0063370759,0.0111096446
Kepler-155 c,2.149803,1.982796,0.006828356,0.0118823078
Kepler-156 b,2.214662,2.036743,0.0070343657,0.0122055962
Kepler-157 b,1.314897,1.272705,0.0041764687,0.0076269433
Kepler-157 c,2.153336,1.985833,0.0068395778,0.0119005077
Kepler-158 b,2.033199,1.885673,0.0064579902,0.0113002785
Kepler-158 c,1.821425,1.707989,0.0057853386,0.010235471
Kepler-159 b,2.283459,2.094074,0.0072528836,0.0125491638
Kepler-160 b,1.494346,1.42908,0.0047464472,0.0085640522
Kepler-161 b,2.040084,1.891274,0.0064798588,0.0113338436
Kepler-161 c,1.969992,1.8327,0.0062572276,0.010982827
Kepler-162 b,1.233804,1.203645,0.0039188953,0.0072130872
Kepler-163 b,1.049389,1.04137,0.0033331434,0.0062406213
Kepler-163 c,2.171813,2.001262,0.0068982657,0.0119929691
Kepler-164 b,1.385984,1.335493,0.0044022602,0.0080032131
Kepler-164 d,2.365139,2.161703,0.0075123214,0.0129544444
Kepler-165 b,2.231753,2.051068,0.0070886514,0.0122914416
Kepler-165 c,2.141142,1.975674,0.0068008463,0.0118396278
Kepler-166 b,2.182841,2.010474,0.0069332936,0.0120481739
Kepler-166 c,2.282887,2.09356,0.0072510668,0.0125460836
Kepler-167 b,1.403305,1.351238,0.0044572764,0.0080975682
Kepler-167 c,1.335012,1.292327,0.0042403593,0.0077445321
Kepler-168 b,1.434052,1.376804,0.0045549372,0.0082507777
Kepler-169 b,1.125496,1.108611,0.0035748798,0.0066435766
Kepler-169 c,1.192466,1.167921,0.0037875947,0.0069990038
Kepler-169 d,1.226514,1.197837,0.0038957403,0.0071782816
Kepler-169 e,2.111939,1.951404,0.0067080897,0.0116941849
Kepler-171 b,2.259338,2.073701,0.0071762688,0.0124270745
Kepler-171 d,1.811586,1.699665,0.0057540873,0.0101855878
Kepler-172 b,2.27822,2.089072,0.0072362432,0.0125191883
Kepler-172 d,2.161968,1.993085,0.0068669953,0.0119439667
Kepler-173 b,1.27744,1.241221,0.0040574951,0.007438269
Kepler-173 c,2.348781,2.148113,0.007460364,0.0128730035
Kepler-174 b,1.878341,1.755864,0.0059661192,0.0105223717
Kepler-174 c,1.436625,1.380444,0.0045631097,0.0082725911
Kepler-174 d,2.090965,1.933823,0.0066414706,0.0115888272
Kepler-176 b,1.397462,1.346052,0.0044387174,0.00806649
Kepler-179 b,1.594293,1.514546,0.0050639059,0.0090762246
Kepler-179 c,1.91381,1.785504,0.0060787784,0.0106999954
Kepler-180 b,1.457192,1.397659,0.0046284361,0.0083757555
Kepler-181 b,1.254163,1.22132,0.003983561,0.0073190082
Kepler-181 c,1.917268,1.788244,0.0060897619,0.0107164154
Kepler-183 b,1.987052,1.846705,0.0063114148,0.0110667549
Kepler-183 c,2.183698,2.011159,0.0069360157,0.0120522789
Kepler-184 b,2.274135,2.086394,0.0072232681,0.0125031399
Kepler-184 c,1.889957,1.76567,0.0060030148,0.0105811362
Kepler-184 d,2.405336,2.194865,0.007639998,0.0131531744
Kepler-185 b,1.161775,1.139647,0.0036901117,0.0068295662
Kepler-185 c,1.936348,1.804606,0.0061503652,0.010814468
Kepler-186 b,1.123231,1.107442,0.0035676856,0.0066365712
Kepler-186 c,1.301391,1.263426,0.0041335699,0.007571337
Kepler-186 d,1.501715,1.436359,0.0047698532,0.0086076731
Kepler-186 e,1.288817,1.2526,0.0040936315,0.00750646
Kepler-186 f,1.086295,1.075074,0.0034503668,0.0064425993
Kepler-187 b,1.388853,1.337696,0.0044113729,0.008016415
